# num_workers = 64
# num_cells = 256
# seed_for_environment = 123456
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 8
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 9
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# Number of workers: 64
# Does torch identify cuda: False
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze
0	-0.25	8.221946716308594	2.109490394592285	2.280341148376465	1.904617190361023	1.927497386932373	True
0	-0.25	8.4486083984375	2.2796595096588135	2.2890496253967285	1.9397841691970825	1.9401154518127441	True
0	-1.0	8.396225929260254	2.242246150970459	2.291849374771118	1.933257818222046	1.9288723468780518	True
0	-1.0	8.443602561950684	2.2797513008117676	2.289205551147461	1.936843752861023	1.937801718711853	True
0	-1.0	8.423456192016602	2.2686767578125	2.2908389568328857	1.9292796850204468	1.9346603155136108	True
0	0.13500000536441803	8.449638366699219	2.2778875827789307	2.295466423034668	1.9381568431854248	1.9381275177001953	True
0	-0.75	8.38712215423584	2.232511520385742	2.2945032119750977	1.9266612529754639	1.933445692062378	True
0	0.125	8.445432662963867	2.2737114429473877	2.2937886714935303	1.9409830570220947	1.9369492530822754	True
0	-0.75	8.332359313964844	2.192023992538452	2.2911996841430664	1.9188512563705444	1.9302845001220703	True
0	-1.0	8.43581771850586	2.2690277099609375	2.293041944503784	1.9348559379577637	1.9388914108276367	True
0	-1.0	8.454627990722656	2.287092924118042	2.2958872318267822	1.932096004486084	1.9395521879196167	True
0	-0.5	8.42656135559082	2.269956588745117	2.2915802001953125	1.9299137592315674	1.9351108074188232	True
0	-1.0	8.39202880859375	2.241595983505249	2.292520761489868	1.9251149892807007	1.9327964782714844	True
0	-0.5	8.361726760864258	2.2222743034362793	2.287097930908203	1.9242910146713257	1.928063154220581	True
0	-1.0	8.388101577758789	2.2395179271698	2.2916007041931152	1.9238532781600952	1.9331295490264893	True
0	-0.5	8.399406433105469	2.246829032897949	2.289855480194092	1.933271050453186	1.9294511079788208	True
0	-1.0	8.391294479370117	2.239800453186035	2.2928719520568848	1.9255986213684082	1.9330239295959473	True
0	-0.5	8.398263931274414	2.245075225830078	2.290440082550049	1.931258201599121	1.9314907789230347	True
0	-0.75	8.431610107421875	2.2668726444244385	2.294950008392334	1.9333943128585815	1.936393141746521	True
0	-1.0	8.445796012878418	2.2813522815704346	2.2902719974517822	1.937368631362915	1.9368027448654175	True
0	-1.0	8.435948371887207	2.270456314086914	2.29418683052063	1.9371010065078735	1.9342048168182373	True
0	-1.0	8.440824508666992	2.2655107975006104	2.295102596282959	1.9429806470870972	1.937230110168457	True
0	-1.0	8.44926643371582	2.2828328609466553	2.2926552295684814	1.9395912885665894	1.9341871738433838	True
0	-1.0	8.44485855102539	2.269209861755371	2.2958176136016846	1.9426151514053345	1.9372162818908691	True
0	0.3050000071525574	8.416733741760254	2.257073163986206	2.2922067642211914	1.9343159198760986	1.933138132095337	True
