# num_workers = 96
# num_cells = 256
# seed_for_environment = 111
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 8
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 9
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = True
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = False
# index_to_unfreeze_encoder_updates = 50
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = True
# Resolved_model_use_pretrained_encoder = False
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
# encoder ***RANDOM WEIGHTS***
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze
0	-0.25	8.434700012207031	2.2832627296447754	2.291930913925171	1.9194180965423584	1.940087914466858	True
0	0.23000000417232513	8.45376968383789	2.2886948585510254	2.29736065864563	1.9280426502227783	1.9396710395812988	True
0	-0.25	8.45139217376709	2.2868289947509766	2.2965457439422607	1.9275823831558228	1.9404346942901611	True
0	0.1274999976158142	8.453386306762695	2.2884676456451416	2.29746150970459	1.9274526834487915	1.940004587173462	True
0	-0.25	8.450851440429688	2.2865726947784424	2.296360731124878	1.927151083946228	1.9407665729522705	True
0	0.24500000476837158	8.453407287597656	2.289271831512451	2.2970783710479736	1.9271178245544434	1.9399386644363403	True
0	-0.25	8.450942039489746	2.286848783493042	2.296251058578491	1.9271827936172485	1.9406594038009644	True
0	0.12250000238418579	8.454642295837402	2.2891581058502197	2.2973647117614746	1.927977442741394	1.9401414394378662	True
0	-0.25	8.45044231414795	2.286437511444092	2.2966201305389404	1.9269278049468994	1.9404575824737549	True
0	0.23000000417232513	8.4542818069458	2.2892026901245117	2.297212839126587	1.9280155897140503	1.9398510456085205	True
0	-0.25	8.450892448425293	2.2869133949279785	2.296265125274658	1.9271461963653564	1.9405677318572998	True
0	0.12250000238418579	8.454462051391602	2.288796901702881	2.2972655296325684	1.9284918308258057	1.9399082660675049	True
0	-0.25	8.450610160827637	2.2861530780792236	2.2965872287750244	1.9267246723175049	1.9411448240280151	True
0	0.2800000011920929	8.453629493713379	2.2893600463867188	2.2973875999450684	1.9272730350494385	1.9396089315414429	True
0	-0.25	8.450913429260254	2.2870588302612305	2.296394109725952	1.9268451929092407	1.940615177154541	True
0	0.12250000238418579	8.453792572021484	2.288618326187134	2.297567129135132	1.9279841184616089	1.9396229982376099	True
0	0.13249999284744263	8.452966690063477	2.287032127380371	2.2969610691070557	1.9282296895980835	1.9407434463500977	True
0	0.35499998927116394	8.448930740356445	2.286039352416992	2.296160936355591	1.9261181354522705	1.9406124353408813	True
0	-0.25	8.452701568603516	2.2874293327331543	2.2970423698425293	1.9275357723236084	1.9406940937042236	True
0	-0.25	8.454022407531738	2.289350748062134	2.2975122928619385	1.9271799325942993	1.9399795532226562	True
0	-0.75	8.453332901000977	2.288731575012207	2.297539710998535	1.9272572994232178	1.9398040771484375	True
0	-0.25	8.454845428466797	2.287937879562378	2.2987451553344727	1.9283604621887207	1.9398012161254883	True
0	-0.75	8.453455924987793	2.289449691772461	2.2969970703125	1.9271045923233032	1.939905047416687	True
0	-0.25	8.453959465026855	2.287449836730957	2.2985575199127197	1.9285112619400024	1.939441204071045	True
0	-0.75	8.453901290893555	2.2889676094055176	2.2975566387176514	1.927729845046997	1.9396474361419678	True
0	0.23499999940395355	8.455069541931152	2.288247585296631	2.29852557182312	1.9289653301239014	1.939330816268921	True
0	-0.75	8.450511932373047	2.286696434020996	2.2961537837982178	1.927187442779541	1.940474271774292	True
0	0.22499999403953552	8.456033706665039	2.2886955738067627	2.298560380935669	1.929511308670044	1.9392664432525635	True
0	-0.75	8.450590133666992	2.286418914794922	2.296450138092041	1.927117109298706	1.9406044483184814	True
