device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 7
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 0: train 10.6814 | val 6,6: 11.5918 | 9,6: 9.6722 | 12,6: 8.5343 | 15,3: 11.6569
epoch 1: train 10.2577 | val 6,6: 11.1834 | 9,6: 9.5070 | 12,6: 8.3769 | 15,3: 11.6439
epoch 2: train 10.1505 | val 6,6: 11.0416 | 9,6: 9.4565 | 12,6: 8.3153 | 15,3: 11.6035
epoch 3: train 10.1157 | val 6,6: 11.0260 | 9,6: 9.4662 | 12,6: 8.3180 | 15,3: 11.6024
epoch 4: train 10.0948 | val 6,6: 10.9673 | 9,6: 9.4385 | 12,6: 8.2807 | 15,3: 11.5836
epoch 5: train 10.0853 | val 6,6: 10.9262 | 9,6: 9.4300 | 12,6: 8.2567 | 15,3: 11.5800
epoch 6: train 10.0717 | val 6,6: 10.9286 | 9,6: 9.4112 | 12,6: 8.2466 | 15,3: 11.5768
epoch 7: train 10.0590 | val 6,6: 10.9217 | 9,6: 9.3859 | 12,6: 8.2251 | 15,3: 11.5778
epoch 8: train 10.0433 | val 6,6: 10.8952 | 9,6: 9.3666 | 12,6: 8.1840 | 15,3: 11.5717
epoch 9: train 10.0242 | val 6,6: 10.8772 | 9,6: 9.3506 | 12,6: 8.1363 | 15,3: 11.5815
epoch 10: train 10.0118 | val 6,6: 10.8647 | 9,6: 9.3296 | 12,6: 8.1378 | 15,3: 11.5658
epoch 11: train 9.9926 | val 6,6: 10.8354 | 9,6: 9.3014 | 12,6: 8.1223 | 15,3: 11.5543
epoch 12: train 9.9822 | val 6,6: 10.8184 | 9,6: 9.2880 | 12,6: 8.1382 | 15,3: 11.6028
epoch 13: train 9.9682 | val 6,6: 10.8155 | 9,6: 9.2737 | 12,6: 8.1412 | 15,3: 11.5371
epoch 14: train 9.9627 | val 6,6: 10.7854 | 9,6: 9.2742 | 12,6: 8.1394 | 15,3: 11.5388
epoch 15: train 9.9566 | val 6,6: 10.8696 | 9,6: 9.2671 | 12,6: 8.1340 | 15,3: 11.5232
epoch 16: train 9.9489 | val 6,6: 10.7751 | 9,6: 9.2592 | 12,6: 8.1157 | 15,3: 11.5656
epoch 17: train 9.9550 | val 6,6: 10.8057 | 9,6: 9.2649 | 12,6: 8.1266 | 15,3: 11.5764
epoch 18: train 9.9464 | val 6,6: 10.7624 | 9,6: 9.2530 | 12,6: 8.1218 | 15,3: 11.5331
epoch 19: train 9.9379 | val 6,6: 10.7685 | 9,6: 9.2526 | 12,6: 8.1042 | 15,3: 11.5490
epoch 20: train 9.9348 | val 6,6: 10.7447 | 9,6: 9.2294 | 12,6: 8.0884 | 15,3: 11.5413
epoch 21: train 9.9259 | val 6,6: 10.7366 | 9,6: 9.2163 | 12,6: 8.1008 | 15,3: 11.5201
epoch 22: train 9.9177 | val 6,6: 10.7202 | 9,6: 9.2079 | 12,6: 8.0947 | 15,3: 11.5636
epoch 23: train 9.9178 | val 6,6: 10.7152 | 9,6: 9.2044 | 12,6: 8.1093 | 15,3: 11.5236
epoch 24: train 9.9061 | val 6,6: 10.6975 | 9,6: 9.1683 | 12,6: 8.0825 | 15,3: 11.5009
epoch 25: train 9.8930 | val 6,6: 10.7224 | 9,6: 9.1575 | 12,6: 8.1059 | 15,3: 11.5481
epoch 26: train 9.8852 | val 6,6: 10.6852 | 9,6: 9.1432 | 12,6: 8.0811 | 15,3: 11.5305
epoch 27: train 9.8905 | val 6,6: 10.6811 | 9,6: 9.1401 | 12,6: 8.0750 | 15,3: 11.5300
epoch 28: train 9.8854 | val 6,6: 10.6785 | 9,6: 9.1380 | 12,6: 8.0903 | 15,3: 11.5379
epoch 29: train 9.8796 | val 6,6: 10.6766 | 9,6: 9.1328 | 12,6: 8.0791 | 15,3: 11.5072
epoch 30: train 9.8743 | val 6,6: 10.6713 | 9,6: 9.1311 | 12,6: 8.0722 | 15,3: 11.5543
epoch 31: train 9.8796 | val 6,6: 10.6720 | 9,6: 9.1300 | 12,6: 8.0779 | 15,3: 11.5303
epoch 32: train 9.8761 | val 6,6: 10.6767 | 9,6: 9.1373 | 12,6: 8.0897 | 15,3: 11.5196
epoch 33: train 9.8762 | val 6,6: 10.6571 | 9,6: 9.1404 | 12,6: 8.0851 | 15,3: 11.5252
epoch 34: train 9.8697 | val 6,6: 10.6643 | 9,6: 9.1298 | 12,6: 8.0756 | 15,3: 11.5234
epoch 35: train 9.8661 | val 6,6: 10.6712 | 9,6: 9.1336 | 12,6: 8.0767 | 15,3: 11.5433
epoch 36: train 9.8616 | val 6,6: 10.6604 | 9,6: 9.1247 | 12,6: 8.0786 | 15,3: 11.4836
epoch 37: train 9.8596 | val 6,6: 10.6852 | 9,6: 9.1406 | 12,6: 8.0698 | 15,3: 11.5364
epoch 38: train 9.8660 | val 6,6: 10.6625 | 9,6: 9.1250 | 12,6: 8.0582 | 15,3: 11.5192
epoch 39: train 9.8585 | val 6,6: 10.6620 | 9,6: 9.1426 | 12,6: 8.0745 | 15,3: 11.5063
epoch 40: train 9.8527 | val 6,6: 10.6731 | 9,6: 9.1300 | 12,6: 8.0618 | 15,3: 11.5000
epoch 41: train 9.8595 | val 6,6: 10.6563 | 9,6: 9.1393 | 12,6: 8.0800 | 15,3: 11.4980
epoch 42: train 9.8531 | val 6,6: 10.6633 | 9,6: 9.1325 | 12,6: 8.0674 | 15,3: 11.4779
epoch 43: train 9.8492 | val 6,6: 10.6746 | 9,6: 9.1262 | 12,6: 8.0684 | 15,3: 11.4995
epoch 44: train 9.8514 | val 6,6: 10.6571 | 9,6: 9.1225 | 12,6: 8.0503 | 15,3: 11.6179
epoch 45: train 9.8456 | val 6,6: 10.6533 | 9,6: 9.1247 | 12,6: 8.0588 | 15,3: 11.4734
epoch 46: train 9.8440 | val 6,6: 10.6581 | 9,6: 9.1320 | 12,6: 8.0652 | 15,3: 11.4467
epoch 47: train 9.8368 | val 6,6: 10.6486 | 9,6: 9.1197 | 12,6: 8.0415 | 15,3: 11.4327
epoch 48: train 9.8416 | val 6,6: 10.6534 | 9,6: 9.1528 | 12,6: 8.1056 | 15,3: 11.4560
epoch 49: train 9.8357 | val 6,6: 10.6428 | 9,6: 9.1199 | 12,6: 8.0516 | 15,3: 11.4059
epoch 50: train 9.8339 | val 6,6: 10.6466 | 9,6: 9.1222 | 12,6: 8.0556 | 15,3: 11.4339
epoch 51: train 9.8294 | val 6,6: 10.6485 | 9,6: 9.1218 | 12,6: 8.0462 | 15,3: 11.4523
epoch 52: train 9.8316 | val 6,6: 10.6448 | 9,6: 9.1241 | 12,6: 8.0642 | 15,3: 11.4926
epoch 53: train 9.8356 | val 6,6: 10.6642 | 9,6: 9.1365 | 12,6: 8.0589 | 15,3: 11.5157
epoch 54: train 9.8439 | val 6,6: 10.6515 | 9,6: 9.1313 | 12,6: 8.0636 | 15,3: 11.4962
epoch 55: train 9.8487 | val 6,6: 10.6878 | 9,6: 9.1473 | 12,6: 8.0706 | 15,3: 11.5127
epoch 56: train 9.8501 | val 6,6: 10.6662 | 9,6: 9.1542 | 12,6: 8.0872 | 15,3: 11.5678
epoch 57: train 9.8456 | val 6,6: 10.7793 | 9,6: 9.1847 | 12,6: 8.1618 | 15,3: 11.5032
epoch 58: train 9.8372 | val 6,6: 10.6496 | 9,6: 9.1205 | 12,6: 8.0470 | 15,3: 11.4335
epoch 59: train 9.8386 | val 6,6: 10.6579 | 9,6: 9.1296 | 12,6: 8.0725 | 15,3: 11.4848
epoch 60: train 9.8314 | val 6,6: 10.6450 | 9,6: 9.1283 | 12,6: 8.1161 | 15,3: 11.4768
epoch 61: train 9.8392 | val 6,6: 10.6588 | 9,6: 9.1314 | 12,6: 8.0781 | 15,3: 11.4870
epoch 62: train 9.8317 | val 6,6: 10.6457 | 9,6: 9.1202 | 12,6: 8.0521 | 15,3: 11.4757
epoch 63: train 9.8318 | val 6,6: 10.6517 | 9,6: 9.1392 | 12,6: 8.0679 | 15,3: 11.4725
epoch 64: train 9.8322 | val 6,6: 10.6521 | 9,6: 9.1312 | 12,6: 8.0685 | 15,3: 11.5034
epoch 65: train 9.8221 | val 6,6: 10.6660 | 9,6: 9.1423 | 12,6: 8.0638 | 15,3: 11.5616
epoch 66: train 9.8335 | val 6,6: 10.6451 | 9,6: 9.1363 | 12,6: 8.0671 | 15,3: 11.5966
epoch 67: train 9.8458 | val 6,6: 10.6704 | 9,6: 9.1369 | 12,6: 8.1666 | 15,3: 11.5211
epoch 68: train 9.8500 | val 6,6: 10.6437 | 9,6: 9.1199 | 12,6: 8.0475 | 15,3: 11.5472
epoch 69: train 9.8505 | val 6,6: 10.6670 | 9,6: 9.1383 | 12,6: 8.0627 | 15,3: 11.5592
epoch 70: train 9.8501 | val 6,6: 10.7020 | 9,6: 9.1232 | 12,6: 8.0975 | 15,3: 11.5589
epoch 71: train 9.8506 | val 6,6: 10.6439 | 9,6: 9.1260 | 12,6: 8.0528 | 15,3: 11.5292
epoch 72: train 9.8393 | val 6,6: 10.6502 | 9,6: 9.1216 | 12,6: 8.0995 | 15,3: 11.5070
epoch 73: train 9.8391 | val 6,6: 10.6746 | 9,6: 9.1280 | 12,6: 8.0549 | 15,3: 11.5348
epoch 74: train 9.8325 | val 6,6: 10.6633 | 9,6: 9.1325 | 12,6: 8.1480 | 15,3: 11.4531
epoch 75: train 9.8249 | val 6,6: 10.6489 | 9,6: 9.1225 | 12,6: 8.0806 | 15,3: 11.4419
epoch 76: train 9.8230 | val 6,6: 10.6585 | 9,6: 9.1544 | 12,6: 8.0773 | 15,3: 11.5100
epoch 77: train 9.8173 | val 6,6: 10.6592 | 9,6: 9.1287 | 12,6: 8.0678 | 15,3: 11.4492
epoch 78: train 9.8189 | val 6,6: 10.6380 | 9,6: 9.1155 | 12,6: 8.0470 | 15,3: 11.4265
epoch 79: train 9.8226 | val 6,6: 10.6511 | 9,6: 9.1179 | 12,6: 8.0732 | 15,3: 11.4313
epoch 80: train 9.8212 | val 6,6: 10.6841 | 9,6: 9.1283 | 12,6: 8.0643 | 15,3: 11.4557
epoch 81: train 9.8192 | val 6,6: 10.6618 | 9,6: 9.1243 | 12,6: 8.0703 | 15,3: 11.4536
epoch 82: train 9.8281 | val 6,6: 10.6675 | 9,6: 9.1355 | 12,6: 8.0482 | 15,3: 11.5232
epoch 83: train 9.8255 | val 6,6: 10.6838 | 9,6: 9.1462 | 12,6: 8.0564 | 15,3: 11.4717
epoch 84: train 9.8189 | val 6,6: 10.6711 | 9,6: 9.1372 | 12,6: 8.0658 | 15,3: 11.5271
epoch 85: train 9.8315 | val 6,6: 10.6618 | 9,6: 9.1257 | 12,6: 8.0806 | 15,3: 11.5093
epoch 86: train 9.8306 | val 6,6: 10.6763 | 9,6: 9.1607 | 12,6: 8.0963 | 15,3: 11.5175
epoch 87: train 9.8235 | val 6,6: 10.6743 | 9,6: 9.1429 | 12,6: 8.0911 | 15,3: 11.5942
epoch 88: train 9.8187 | val 6,6: 10.6930 | 9,6: 9.1304 | 12,6: 8.0725 | 15,3: 11.4655
epoch 89: train 9.8178 | val 6,6: 10.7127 | 9,6: 9.1598 | 12,6: 8.0919 | 15,3: 11.4623
